,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,Occupation,Gender,Age,Household income,Education,Location,Gender_code,Age_code,Household income_code,Education_code,RelationshipLength_code,Frequency in separate beds_code,sleep together?
720,Married,More than 20 years,Never,Transportation and Materials Moving Occupations,Male,45-60,Did not disclose,Bachelor degree,Pacific,0,3,0,4,5.0,0.0,1.0
721,Married,More than 20 years,Never,homemaker,Female,45-60,"$25,000 - $49,999",Some college or Associate degree,East North Central,1,3,2,3,5.0,0.0,1.0
722,Married,11-15 years,Never,"Education, Training, and Library Occupations",Male,30-44,"$25,000 - $49,999",Graduate degree,South Atlantic,0,2,2,5,3.0,0.0,1.0
723,Separated,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,,,
724,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic,1,2,3,4,5.0,0.0,1.0
725,Married,11-15 years,A few times per month,Healthcare Support Occupations,Female,30-44,Did not disclose,Graduate degree,South Atlantic,1,2,0,5,3.0,3.0,0.0
726,Married,1-5 years,Never,Community and Social Service Occupations,Male,30-44,Did not disclose,Bachelor degree,Mountain,0,2,0,4,1.0,0.0,1.0
727,Married,More than 20 years,Every night,sAFETY,Male,45-60,"$100,000 - $149,999",Graduate degree,West North Central,0,3,4,5,5.0,5.0,0.0
728,Married,More than 20 years,A few times per month,Business and Financial Operations Occupations,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,1,4,3,3,5.0,3.0,0.0
729,Married,16-20 years,Never,retired,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,4.0,0.0,1.0
730,Married,More than 20 years,Every night,Office and Administrative Support Occupations,Female,30-44,Did not disclose,Some college or Associate degree,Mountain,1,2,0,3,5.0,5.0,0.0
731,Married,11-15 years,Every night,Sales and Related Occupations,Female,45-60,"$50,000 - $99,999",High school degree,Pacific,1,3,3,2,3.0,5.0,0.0
732,Married,More than 20 years,Once a month or less,Retired,Male,> 60,"$100,000 - $149,999",Graduate degree,West North Central,0,4,4,5,5.0,2.0,0.0
733,Married,11-15 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central,0,4,3,3,3.0,0.0,1.0
734,Married,1-5 years,Never,Management Occupations,Female,30-44,Did not disclose,Graduate degree,South Atlantic,1,2,0,5,1.0,0.0,1.0
735,Married,16-20 years,Every night,"Education, Training, and Library Occupations",Male,45-60,"$25,000 - $49,999",Bachelor degree,South Atlantic,0,3,2,4,4.0,5.0,0.0
736,"Single, but cohabiting with a significant other",6-10 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,30-44,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,0,2,2,4,2.0,0.0,1.0
737,"Single, but cohabiting with a significant other",1-5 years,Never,Healthcare Support Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1.0,0.0,1.0
738,Married,More than 20 years,Never,Healthcare Support Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,0,3,4,5,5.0,0.0,1.0
739,Married,More than 20 years,Every night,retired,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,South Atlantic,0,4,4,3,5.0,5.0,0.0
740,Married,6-10 years,Once a year or less,Homemaker,Female,18-29,Did not disclose,Some college or Associate degree,Middle Atlantic,1,1,0,3,2.0,1.0,0.0
741,"Single, but cohabiting with a significant other",6-10 years,Every night,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,2.0,5.0,0.0
742,"Single, but cohabiting with a significant other",Less than 1 year,Never,Personal Care and Service Occupations,Female,> 60,"$50,000 - $99,999",High school degree,Middle Atlantic,1,4,3,2,0.0,0.0,1.0
743,Married,16-20 years,Never,Retired,Male,> 60,"$150,000+",Some college or Associate degree,West South Central,0,4,5,3,4.0,0.0,1.0
744,Married,11-15 years,A few times per week,Administrative Assistant,Female,30-44,"$25,000 - $49,999",High school degree,South Atlantic,1,2,2,2,3.0,4.0,0.0
745,Married,11-15 years,Every night,Office and Administrative Support Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific,1,2,3,3,3.0,5.0,0.0
746,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,> 60,Did not disclose,Bachelor degree,East North Central,1,4,0,4,5.0,0.0,1.0
747,Married,6-10 years,Never,Healthcare Support Occupations,Female,30-44,"$50,000 - $99,999",High school degree,South Atlantic,1,2,3,2,2.0,0.0,1.0
748,Married,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,,,
749,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,45-60,"$150,000+",Bachelor degree,Pacific,1,3,5,4,5.0,0.0,1.0
750,Married,More than 20 years,Every night,Retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,0,4,3,4,5.0,5.0,0.0
751,Married,More than 20 years,Never,Business and Financial Operations Occupations,Female,> 60,Did not disclose,Bachelor degree,Mountain,1,4,0,4,5.0,0.0,1.0
752,Married,More than 20 years,Once a year or less,retire,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,1.0,0.0
753,Married,More than 20 years,Never,retired,Male,> 60,"$100,000 - $149,999",Graduate degree,New England,0,4,4,5,5.0,0.0,1.0
754,Married,11-15 years,Never,Healthcare Support Occupations,Female,30-44,Did not disclose,Some college or Associate degree,East North Central,1,2,0,3,3.0,0.0,1.0
755,Married,6-10 years,Every night,"Life, Physical, and Social Science Occupations",Female,45-60,"$150,000+",Graduate degree,Mountain,1,3,5,5,2.0,5.0,0.0
756,Married,More than 20 years,Once a year or less,Office and Administrative Support Occupations,Female,45-60,"$50,000 - $99,999",High school degree,East South Central,1,3,3,2,5.0,1.0,0.0
757,Married,6-10 years,Never,Management Occupations,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,0,4,4,3,2.0,0.0,1.0
758,In a domestic partnership or civil union,6-10 years,A few times per month,"Education, Training, and Library Occupations",Female,45-60,"$100,000 - $149,999",Graduate degree,East North Central,1,3,4,5,2.0,3.0,0.0
759,Married,More than 20 years,Never,Management Occupations,Female,45-60,Did not disclose,Bachelor degree,Middle Atlantic,1,3,0,4,5.0,0.0,1.0
760,Married,11-15 years,Every night,Office and Administrative Support Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,0,3,3,3,3.0,5.0,0.0
761,Married,6-10 years,Never,"Farming, Fishing, and Forestry Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,Middle Atlantic,1,2,3,5,2.0,0.0,1.0
762,Married,6-10 years,Once a year or less,Healthcare Practitioners and Technical Occupations,Male,30-44,Did not disclose,Graduate degree,Middle Atlantic,0,2,0,5,2.0,1.0,0.0
763,Married,6-10 years,A few times per month,Production Occupations,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,South Atlantic,0,2,2,3,2.0,3.0,0.0
764,Separated,16-20 years,Every night,Architecture and Engineering Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,4.0,5.0,0.0
765,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,> 60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,1,4,4,5,5.0,0.0,1.0
766,Married,More than 20 years,Never,bio-medical technician,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,East North Central,0,3,4,3,5.0,0.0,1.0
767,Married,More than 20 years,Never,Computer and Mathematical Occupations,Male,45-60,Did not disclose,Some college or Associate degree,West North Central,0,3,0,3,5.0,0.0,1.0
768,Separated,More than 20 years,Never,Computer and Mathematical Occupations,Female,> 60,"$0 - $24,999",Some college or Associate degree,South Atlantic,1,4,1,3,5.0,0.0,1.0
769,In a domestic partnership or civil union,16-20 years,Every night,Production Occupations,Female,45-60,"$50,000 - $99,999",Less than high school degree,South Atlantic,1,3,3,1,4.0,5.0,0.0
770,Married,More than 20 years,Once a month or less,Legal Occupations,Female,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic,1,2,4,5,5.0,2.0,0.0
771,"Single, but cohabiting with a significant other",1-5 years,Never,Sales and Related Occupations,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,East South Central,1,2,2,3,1.0,0.0,1.0
772,Married,More than 20 years,Never,retired,Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific,0,4,4,5,5.0,0.0,1.0
773,Married,More than 20 years,Once a month or less,Office and Administrative Support Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,2.0,0.0
774,Married,16-20 years,Never,Community and Social Service Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific,0,3,3,3,4.0,0.0,1.0
775,"Single, but cohabiting with a significant other",11-15 years,Once a month or less,Computer and Mathematical Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,West South Central,1,2,3,4,3.0,2.0,0.0
776,Married,More than 20 years,Every night,"Education, Training, and Library Occupations",Female,> 60,"$150,000+",Bachelor degree,Middle Atlantic,1,4,5,4,5.0,5.0,0.0
777,Married,More than 20 years,A few times per month,retire,Female,> 60,"$0 - $24,999",Some college or Associate degree,Middle Atlantic,1,4,1,3,5.0,3.0,0.0
778,Married,11-15 years,Never,Office and Administrative Support Occupations,Female,45-60,Did not disclose,Graduate degree,South Atlantic,1,3,0,5,3.0,0.0,1.0
779,Married,More than 20 years,Never,Retired,Male,> 60,"$50,000 - $99,999",Graduate degree,East North Central,0,4,3,5,5.0,0.0,1.0
780,Married,More than 20 years,Never,Architecture and Engineering Occupations,Female,30-44,"$25,000 - $49,999",Bachelor degree,West South Central,1,2,2,4,5.0,0.0,1.0
781,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,Legal Occupations,Female,18-29,Did not disclose,Some college or Associate degree,Middle Atlantic,1,1,0,3,1.0,2.0,0.0
782,Married,1-5 years,Once a month or less,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,30-44,"$150,000+",Bachelor degree,Pacific,0,2,5,4,1.0,2.0,0.0
783,Married,More than 20 years,Once a year or less,unemployed,Male,45-60,"$0 - $24,999",Bachelor degree,East North Central,0,3,1,4,5.0,1.0,0.0
784,"Single, but cohabiting with a significant other",16-20 years,Every night,"Education, Training, and Library Occupations",Male,45-60,"$150,000+",Bachelor degree,New England,0,3,5,4,4.0,5.0,0.0
785,Married,More than 20 years,Never,Community and Social Service Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,0.0,1.0
786,Married,11-15 years,Never,Healthcare Practitioners and Technical Occupations,Female,45-60,"$150,000+",Graduate degree,South Atlantic,1,3,5,5,3.0,0.0,1.0
787,Married,6-10 years,Once a year or less,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,East North Central,1,2,3,5,2.0,1.0,0.0
788,Married,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,,,
789,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Male,> 60,"$100,000 - $149,999",Bachelor degree,West North Central,0,4,4,4,5.0,0.0,1.0
790,Married,More than 20 years,Once a month or less,Office and Administrative Support Occupations,Female,45-60,"$50,000 - $99,999",Bachelor degree,East North Central,1,3,3,4,5.0,2.0,0.0
791,Married,1-5 years,Never,Unemployed,Female,30-44,Did not disclose,High school degree,Pacific,1,2,0,2,1.0,0.0,1.0
792,"Single, but cohabiting with a significant other",6-10 years,Every night,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic,0,3,3,4,2.0,5.0,0.0
793,In a domestic partnership or civil union,6-10 years,Once a month or less,Management Occupations,Female,18-29,"$100,000 - $149,999",Bachelor degree,East North Central,1,1,4,4,2.0,2.0,0.0
794,In a domestic partnership or civil union,1-5 years,Never,"Life, Physical, and Social Science Occupations",Female,18-29,"$0 - $24,999",Graduate degree,South Atlantic,1,1,1,5,1.0,0.0,1.0
795,Married,11-15 years,A few times per week,Sales and Related Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,New England,1,2,3,3,3.0,4.0,0.0
796,Divorced,1-5 years,Every night,Construction and Extraction Occupations,Male,30-44,"$50,000 - $99,999",High school degree,West North Central,0,2,3,2,1.0,5.0,0.0
797,Married,6-10 years,Never,"Education, Training, and Library Occupations",Female,18-29,"$50,000 - $99,999",Graduate degree,East North Central,1,1,3,5,2.0,0.0,1.0
798,Married,6-10 years,Never,Construction and Extraction Occupations,Male,45-60,"$50,000 - $99,999",High school degree,South Atlantic,0,3,3,2,2.0,0.0,1.0
799,Married,11-15 years,Never,Office and Administrative Support Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,0,2,3,3,3.0,0.0,1.0
800,Married,16-20 years,A few times per month,Office and Administrative Support Occupations,Female,45-60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,1,3,3,4,4.0,3.0,0.0
801,Married,More than 20 years,Once a year or less,retired,Male,> 60,"$150,000+",Graduate degree,Pacific,0,4,5,5,5.0,1.0,0.0
802,Married,16-20 years,Never,Community and Social Service Occupations,Female,30-44,"$100,000 - $149,999",Graduate degree,West North Central,1,2,4,5,4.0,0.0,1.0
803,Married,More than 20 years,Every night,ret.,Male,> 60,"$50,000 - $99,999",Did not disclose,East North Central,0,4,3,0,5.0,5.0,0.0
804,"Single, but cohabiting with a significant other",1-5 years,Never,Office and Administrative Support Occupations,Female,18-29,"$0 - $24,999",Bachelor degree,Mountain,1,1,1,4,1.0,0.0,1.0
805,Married,11-15 years,Never,Community and Social Service Occupations,Male,30-44,"$50,000 - $99,999",Bachelor degree,Mountain,0,2,3,4,3.0,0.0,1.0
806,In a domestic partnership or civil union,1-5 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,> 60,"$150,000+",Graduate degree,East North Central,0,4,5,5,1.0,0.0,1.0
807,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Male,> 60,"$100,000 - $149,999",Graduate degree,Mountain,0,4,4,5,5.0,0.0,1.0
808,Married,16-20 years,Every night,Financial advisor,Female,30-44,"$150,000+",Bachelor degree,East North Central,1,2,5,4,4.0,5.0,0.0
809,Married,1-5 years,Never,Business and Financial Operations Occupations,Female,18-29,"$100,000 - $149,999",Some college or Associate degree,Mountain,1,1,4,3,1.0,0.0,1.0
810,Married,More than 20 years,Never,Community and Social Service Occupations,Male,> 60,"$100,000 - $149,999",Bachelor degree,East North Central,0,4,4,4,5.0,0.0,1.0
811,"Single, but cohabiting with a significant other",1-5 years,Never,Sales and Related Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1.0,0.0,1.0
812,Married,11-15 years,Once a year or less,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,Pacific,1,2,3,5,3.0,1.0,0.0
813,Married,16-20 years,Never,Computer and Mathematical Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,West South Central,0,3,4,4,4.0,0.0,1.0
814,Married,16-20 years,Never,Management Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,East South Central,0,3,4,3,4.0,0.0,1.0
815,Married,More than 20 years,Never,Sales and Related Occupations,Male,> 60,Did not disclose,Graduate degree,New England,0,4,0,5,5.0,0.0,1.0
816,In a domestic partnership or civil union,1-5 years,Never,Social science researcher,Female,18-29,Did not disclose,Bachelor degree,South Atlantic,1,1,0,4,1.0,0.0,1.0
817,Married,More than 20 years,Every night,Healthcare Support Occupations,Male,> 60,Did not disclose,Graduate degree,East North Central,0,4,0,5,5.0,5.0,0.0
818,Married,11-15 years,Once a year or less,Business and Financial Operations Occupations,Male,45-60,"$150,000+",Graduate degree,West North Central,0,3,5,5,3.0,1.0,0.0
819,"Single, but cohabiting with a significant other",1-5 years,Never,Sales and Related Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central,0,3,3,3,1.0,0.0,1.0
820,Married,More than 20 years,A few times per month,Computer and Mathematical Occupations,Male,45-60,Did not disclose,Bachelor degree,West North Central,0,3,0,4,5.0,3.0,0.0
